city,infected_in,infected_in_city,date,count,age,source
Скопје,Македонија,,2020-03-22,22,,https://tv21.tv/mk/novi-29-sluchai-na-koronavirus-vo-makedonija-najgolem-del-od-skopje-vkupnata-brojka-sega-iznesuva-114/
Штип,Македонија,,2020-03-22,3,,https://tv21.tv/mk/novi-29-sluchai-na-koronavirus-vo-makedonija-najgolem-del-od-skopje-vkupnata-brojka-sega-iznesuva-114/
Куманово,Италија,,2020-03-22,2,,https://tv21.tv/mk/novi-29-sluchai-na-koronavirus-vo-makedonija-najgolem-del-od-skopje-vkupnata-brojka-sega-iznesuva-114/
Дебар,Македонија,,2020-03-22,2,,https://tv21.tv/mk/novi-29-sluchai-na-koronavirus-vo-makedonija-najgolem-del-od-skopje-vkupnata-brojka-sega-iznesuva-114/
Охрид,Македонија,,2020-03-22,1,,https://tv21.tv/mk/novi-29-sluchai-na-koronavirus-vo-makedonija-najgolem-del-od-skopje-vkupnata-brojka-sega-iznesuva-114/
Скопје,Македонија,Скопје,2020-03-22,15,,
Дебар,Македонија,,2020-03-22,4,,
Куманово,Македонија,,2020-03-23,1,,
Скопје,Македонија,,2020-03-24,7,,http://zdravstvo.gov.mk/sostojbata-so-koronavirusot-do-12-00-chasot-registrirani-12-novi-sluchai-na-koronavirus-vo-zemjata-vkupno-148-dijagnosticirani-pacienti/
Куманово,Македонија,,2020-03-24,5,,http://zdravstvo.gov.mk/sostojbata-so-koronavirusot-do-12-00-chasot-registrirani-12-novi-sluchai-na-koronavirus-vo-zemjata-vkupno-148-dijagnosticirani-pacienti/
Скопје,Македонија,,2020-03-25,20,,
Куманово,,,2020-03-25,3,,
Велес,,,2020-03-25,3,,
Прилеп,,,2020-03-25,2,,
Дебар,,,2020-03-25,1,,
Скопје,Македонија,Скопје,2020-03-26,15,,
Куманово,Македонија,Куманово,2020-03-26,4,,
Дебар,Македонија,Дебар,2020-03-26,2,,
Охрид,Македонија,Охрид,2020-03-26,1,,
Тетово,Македонија,Тетово,2020-03-26,1,,
Штип,Македонија,Штип,2020-03-26,1,,
Скопје,Македонија,Скопје,2020-03-27,11,,
Прилеп,Македонија,,2020-03-27,4,,
Куманово,Македонија,Куманово,2020-03-27,2,,
Тетово,Македонија,Тетово,2020-03-27,1,,
Скопје,Македонија,,2020-03-28,9,,https://www.facebook.com/filipce.venko/?epa=SEARCH_BOX
Куманово,Македонија,,2020-03-28,3,,https://www.facebook.com/filipce.venko/?epa=SEARCH_BOX
Струга,Македонија,,2020-03-28,3,,https://www.facebook.com/filipce.venko/?epa=SEARCH_BOX
Тетово,Македонија,,2020-03-28,2,,https://www.facebook.com/filipce.venko/?epa=SEARCH_BOX
Дебар,Македонија,,2020-03-28,2,,https://www.facebook.com/filipce.venko/?epa=SEARCH_BOX
Прилеп,Македонија,,2020-03-28,2,,https://www.facebook.com/filipce.venko/?epa=SEARCH_BOX
Битола,Македонија,,2020-03-28,1,,https://www.facebook.com/filipce.venko/?epa=SEARCH_BOX
Штип,Македонија,Штип,2020-03-29,6,,https://gostivarpress.mk/deneshni-podatoczi-za-korona-po-gradovi-vo-gostivar-nema-nov-pozitiven-sluchaj/
Скопје,Македонија,Скопје,2020-03-29,3,,https://gostivarpress.mk/deneshni-podatoczi-za-korona-po-gradovi-vo-gostivar-nema-nov-pozitiven-sluchaj/
Велес,Македонија,,2020-03-29,3,,https://gostivarpress.mk/deneshni-podatoczi-za-korona-po-gradovi-vo-gostivar-nema-nov-pozitiven-sluchaj/
Струга,Македонија,,2020-03-29,2,,https://gostivarpress.mk/deneshni-podatoczi-za-korona-po-gradovi-vo-gostivar-nema-nov-pozitiven-sluchaj/
Струмица,Македонија,,2020-03-29,1,,https://gostivarpress.mk/deneshni-podatoczi-za-korona-po-gradovi-vo-gostivar-nema-nov-pozitiven-sluchaj/
Дебар,Македонија,Дебар,2020-03-29,1,,https://gostivarpress.mk/deneshni-podatoczi-za-korona-po-gradovi-vo-gostivar-nema-nov-pozitiven-sluchaj/
Тетово,Македонија,Тетово,2020-03-29,1,,https://gostivarpress.mk/deneshni-podatoczi-za-korona-po-gradovi-vo-gostivar-nema-nov-pozitiven-sluchaj/
Гевгелија,Македонија,,2020-03-29,1,,https://gostivarpress.mk/deneshni-podatoczi-za-korona-po-gradovi-vo-gostivar-nema-nov-pozitiven-sluchaj/
